State,District,STUNTING,WASTING,UNDERWEIGHT,ANEMIA,INST_DEL,SANITATION,CLEAN_FUEL,IMMUNIZATION
Andaman And Nicobar Islands,Nicobars,20.3,7.4,10.5,50.5,96.1,86.7,39.3,45.5
Andaman And Nicobar Islands,North And Middle Andaman,32.5,31.7,33.5,47.3,95.0,49.8,35.5,89.1
Andaman And Nicobar Islands,South Andamans,20.1,15.6,18.5,49.6,97.0,83.6,77.3,69.1
Andhra Pradesh,Ananthapuramu,40.3,15.2,39.3,53.0,89.9,46.5,65.9,76.3
Andhra Pradesh,Chittoor,31.4,18.1,32.4,46.6,94.0,39.8,59.4,67.6
Andhra Pradesh,East Godavari,27.7,15.3,27.1,63.1,96.9,56.8,50.3,60.3
Andhra Pradesh,Guntur,22.1,17.9,29.1,68.1,97.5,63.2,79.8,61.7
Andhra Pradesh,Krishna,22.6,20.7,27.7,58.1,96.4,63.2,73.3,74.1
Andhra Pradesh,Kurnool,44.1,18.8,37.5,54.5,75.5,52.9,63.7,66.1
Andhra Pradesh,Prakasam,28.2,15.3,30.3,56.3,91.4,53.6,65.9,64.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,29.4,16.9,28.7,50.4,96.0,52.7,57.1,47.7
Andhra Pradesh,Srikakulam,28.0,15.6,28.7,70.6,91.2,33.2,38.0,59.2
Andhra Pradesh,Visakhapatnam,30.1,17.2,33.1,64.5,84.9,55.2,56.1,66.0
Andhra Pradesh,Vizianagaram,36.8,18.8,34.4,78.7,90.7,31.9,48.1,49.3
Andhra Pradesh,West Godavari,28.5,14.7,30.1,55.1,97.2,61.2,62.3,77.7
Andhra Pradesh,Y.S.R.,36.3,17.9,34.4,55.8,93.7,68.7,72.1,65.3
Arunachal Pradesh,Anjaw,21.0,18.3,10.4,61.6,51.4,45.3,24.7,35.8
Arunachal Pradesh,Changlang,23.5,16.0,20.1,64.3,51.5,56.4,26.5,79.5
Arunachal Pradesh,Dibang Valley,36.3,9.0,14.5,43.4,55.7,78.2,33.8,38.3
Arunachal Pradesh,East Kameng,42.0,15.1,20.5,47.7,33.5,38.3,36.8,11.9
Arunachal Pradesh,East Siang,21.0,18.1,16.9,47.4,68.6,72.8,44.9,45.5
Arunachal Pradesh,Kurung Kumey,38.9,23.2,26.1,50.6,29.6,46.7,39.2,17.4
Arunachal Pradesh,Lohit,27.0,21.4,23.9,57.1,46.9,60.5,23.9,56.5
Arunachal Pradesh,Lower Dibang Valley,22.3,21.7,15.4,59.1,58.8,68.6,41.7,37.3
Arunachal Pradesh,Lower Subansiri,35.1,23.9,21.8,50.6,60.0,73.0,64.5,40.1
Arunachal Pradesh,Papum Pare,25.3,9.5,11.6,54.4,80.6,68.0,84.3,34.9
Arunachal Pradesh,Tawang,20.5,19.4,8.1,66.4,30.2,54.3,45.6,27.8
Arunachal Pradesh,Tirap,39.7,25.2,35.0,59.3,34.5,54.9,21.0,45.3
Arunachal Pradesh,Upper Siang,24.6,29.4,21.5,48.1,66.4,60.0,22.4,
Arunachal Pradesh,Upper Subansiri,28.3,12.3,12.2,52.6,44.7,59.9,38.5,21.9
Arunachal Pradesh,West Kameng,27.3,7.2,11.6,49.9,57.0,58.8,56.1,25.0
Arunachal Pradesh,West Siang,34.7,19.2,21.3,39.2,50.2,76.0,48.7,34.4
Assam,Baksa,32.4,10.5,22.4,39.0,87.8,54.3,16.6,59.1
Assam,Barpeta,41.7,16.6,33.1,30.2,51.9,34.9,22.6,34.1
Assam,Bongaigaon,39.1,23.6,32.9,34.5,67.0,45.9,27.2,42.4
Assam,Cachar,36.3,30.6,36.3,30.9,70.7,37.3,28.8,45.4
Assam,Chirang,40.1,13.0,24.7,35.6,59.4,32.6,18.3,40.4
Assam,Darrang,43.5,19.2,37.9,45.4,66.1,45.6,17.6,40.6
Assam,Dhemaji,35.5,6.2,15.8,38.9,76.1,41.4,11.0,47.0
Assam,Dhubri,47.4,22.2,39.0,42.6,43.6,33.0,16.7,20.1
Assam,Dibrugarh,33.3,22.4,33.0,52.6,88.5,56.6,28.1,71.1
Assam,Dima Hasao,34.7,6.3,18.2,28.9,57.1,59.0,24.3,59.8
Assam,Goalpara,42.7,22.1,39.5,36.0,71.2,46.2,21.3,43.7
Assam,Golaghat,32.6,13.9,20.2,33.3,88.4,59.6,15.7,67.9
Assam,Hailakandi,38.1,19.1,32.5,29.0,56.5,36.0,13.8,39.2
Assam,Jorhat,25.5,14.8,18.1,38.0,95.9,64.5,34.4,64.8
Assam,Kamrup,33.3,18.8,29.6,33.7,83.8,52.6,37.3,35.7
Assam,Kamrup Metro,24.6,11.0,23.2,34.5,92.9,61.2,79.0,72.8
Assam,Karbi Anglong,28.1,18.7,23.7,24.6,50.2,41.5,14.4,23.6
Assam,Karimganj,42.3,17.6,35.6,24.6,48.0,39.5,22.5,53.9
Assam,Kokrajhar,30.6,15.7,27.1,40.4,66.7,39.2,18.3,42.1
Assam,Lakhimpur,29.3,11.2,24.2,31.8,82.7,49.6,18.9,54.0
Assam,Marigaon,38.4,10.3,25.8,38.2,72.2,40.1,18.0,44.4
Assam,Nagaon,38.4,13.3,31.3,35.4,67.4,45.5,19.0,43.1
Assam,Nalbari,26.8,15.3,20.0,45.3,82.8,51.2,35.5,48.8
Assam,Sivasagar,35.5,8.3,22.2,33.5,87.1,55.5,26.4,73.0
Assam,Sonitpur,28.7,21.5,26.9,27.0,88.4,61.0,22.7,45.3
Assam,Tinsukia,36.0,14.8,32.7,42.6,76.3,50.8,26.9,64.0
Assam,Udalguri,39.1,18.3,31.8,39.7,72.2,53.8,14.1,52.8
Bihar,Araria,48.4,22.8,45.4,61.8,51.6,12.5,5.2,53.9
Bihar,Arwal,50.2,30.7,54.0,66.8,69.9,21.3,10.2,74.1
Bihar,Aurangabad,48.3,24.8,47.6,53.4,71.5,27.1,16.6,77.6
Bihar,Banka,49.6,26.0,48.5,70.4,70.7,14.3,9.3,64.9
Bihar,Begusarai,44.9,18.4,39.1,62.7,75.3,34.2,16.5,77.1
Bihar,Bhagalpur,46.6,23.1,40.8,70.1,69.4,32.3,23.2,66.7
Bihar,Bhojpur,43.5,26.0,47.2,70.6,80.4,26.2,21.0,71.9
Bihar,Buxar,43.9,19.6,41.2,59.8,81.6,27.9,23.3,63.9
Bihar,Darbhanga,49.0,16.6,41.1,69.9,47.2,27.7,18.3,52.9
Bihar,Gaya,52.9,25.6,53.1,59.0,56.8,26.8,15.6,67.6
Bihar,Gopalganj,35.6,16.5,30.5,63.3,75.1,26.4,20.4,63.1
Bihar,Jamui,45.9,29.4,47.2,61.3,59.4,14.8,9.2,55.5
Bihar,Jehanabad,52.1,19.6,47.1,61.4,83.0,29.3,20.1,67.5
Bihar,Kaimur (Bhabua),53.8,21.4,48.1,63.0,80.1,21.5,13.8,70.5
Bihar,Katihar,49.2,20.7,45.1,61.3,51.8,21.5,10.0,71.2
Bihar,Khagaria,49.8,17.0,42.4,63.4,71.2,30.8,13.4,65.9
Bihar,Kishanganj,46.9,22.8,45.4,65.2,41.8,15.9,5.7,54.9
Bihar,Lakhisarai,50.6,20.1,47.3,66.3,64.1,36.8,14.7,59.1
Bihar,Madhepura,51.8,24.2,49.2,61.4,60.9,15.0,9.0,62.2
Bihar,Madhubani,51.8,19.1,45.4,62.9,50.3,19.1,12.2,48.9
Bihar,Munger,46.6,21.5,43.7,62.5,83.5,34.1,26.3,63.7
Bihar,Muzaffarpur,47.9,17.5,42.3,58.5,62.3,28.5,21.9,55.0
Bihar,Nalanda,54.1,24.3,50.2,59.0,78.5,31.0,23.4,65.2
Bihar,Nawada,48.4,21.4,45.9,56.4,67.8,28.8,21.0,63.5
Bihar,Pashchim Champaran,43.6,21.7,39.1,62.3,64.2,21.4,18.1,29.4
Bihar,Patna,43.5,28.5,43.3,51.6,86.4,49.9,51.7,69.7
Bihar,Purbi Champaran,47.2,18.0,40.8,65.7,44.9,20.5,14.4,49.3
Bihar,Purnia,52.1,20.8,47.0,66.5,61.5,14.4,8.6,65.8
Bihar,Rohtas,48.5,19.9,45.1,61.3,80.7,25.9,17.9,75.6
Bihar,Saharsa,43.9,24.0,44.4,68.4,59.6,16.6,12.9,78.0
Bihar,Samastipur,49.2,18.4,41.3,65.4,73.4,19.2,14.0,57.4
Bihar,Saran,46.1,18.1,40.4,61.9,62.0,25.4,17.4,55.1
Bihar,Sheikhpura,46.4,28.9,51.7,66.0,74.6,33.6,16.5,63.5
Bihar,Sheohar,53.0,14.8,42.8,63.7,52.7,21.0,11.1,59.3
Bihar,Sitamarhi,57.3,15.8,47.7,69.0,37.2,20.2,12.8,62.6
Bihar,Siwan,37.9,15.0,31.6,63.1,74.8,23.6,20.0,63.3
Bihar,Supaul,48.1,20.9,43.4,72.4,61.1,15.8,6.1,65.9
Bihar,Vaishali,53.7,15.1,41.3,67.4,78.9,30.5,21.0,70.2
Chhattisgarh,Bastar,41.6,33.9,50.6,59.4,66.4,17.6,10.4,71.6
Chhattisgarh,Bijapur,48.2,26.0,47.2,51.3,75.5,21.9,9.6,83.7
Chhattisgarh,Bilaspur,34.1,26.8,33.3,31.1,77.6,40.0,28.2,82.0
Chhattisgarh,Dakshin Bastar Dantewada,44.2,32.3,51.6,71.3,58.3,22.4,16.1,66.1
Chhattisgarh,Dhamtari,34.2,27.0,40.2,52.7,82.6,54.5,20.6,88.2
Chhattisgarh,Durg,34.3,21.2,36.3,44.4,71.9,44.7,36.4,90.4
Chhattisgarh,Janjgir-Champa,36.8,21.7,34.7,35.6,62.4,29.0,18.9,70.5
Chhattisgarh,Jashpur,35.1,18.6,35.2,31.1,60.8,15.1,7.6,50.4
Chhattisgarh,Kabeerdham,40.4,17.6,38.4,37.6,44.6,20.8,10.3,61.5
Chhattisgarh,Korba,33.2,25.7,36.6,39.1,67.1,34.3,26.5,80.8
Chhattisgarh,Korea,30.6,29.0,34.5,33.7,70.6,24.5,18.7,74.6
Chhattisgarh,Mahasamund,43.7,19.8,38.1,38.0,77.9,22.0,12.9,74.8
Chhattisgarh,Narayanpur,49.0,30.5,49.2,48.2,61.3,15.6,11.8,62.4
Chhattisgarh,Raigarh,39.2,19.4,37.1,38.8,66.8,26.7,19.6,68.5
Chhattisgarh,Raipur,38.3,19.5,37.4,47.1,69.1,38.6,34.7,80.1
Chhattisgarh,Rajnandgaon,48.8,17.2,36.6,29.7,83.5,44.8,19.7,87.1
Chhattisgarh,Surguja,32.3,22.3,34.7,38.6,64.5,18.2,12.4,64.3
Chhattisgarh,Uttar Bastar Kanker,36.3,30.9,49.9,61.9,77.5,38.7,14.5,82.0
Delhi,Central,36.6,22.9,34.7,77.2,96.3,74.6,97.8,69.5
Delhi,East,22.5,23.7,20.6,48.7,84.5,80.8,98.2,64.0
Delhi,New Delhi,28.5,20.3,32.0,67.5,82.6,67.7,94.5,
Delhi,North,28.5,13.5,27.9,62.4,88.9,77.8,97.6,52.3
Delhi,North East,27.9,12.7,23.1,46.6,78.5,75.5,98.8,55.2
Delhi,North West,38.6,17.8,32.5,73.4,78.1,66.2,96.8,74.2
Delhi,South,31.3,21.2,28.7,67.9,84.1,73.6,96.7,51.1
Delhi,South West,30.6,9.2,23.1,52.0,89.1,64.6,98.2,89.0
Delhi,West,37.4,17.7,31.0,64.8,88.4,87.8,99.5,
Goa,North Goa,21.4,17.5,23.8,48.5,98.6,79.8,82.5,87.3
Goa,South Goa,18.3,27.7,23.9,48.1,94.5,76.1,86.4,89.5
Gujarat,Ahmadabad,29.4,27.1,31.0,76.0,94.6,88.5,83.4,49.0
Gujarat,Amreli,37.8,24.6,31.7,74.5,81.7,74.8,52.4,59.9
Gujarat,Anand,48.2,21.7,41.3,59.7,92.6,67.2,43.1,61.4
Gujarat,Banas Kantha,40.7,21.6,43.1,57.2,89.3,39.6,27.6,35.3
Gujarat,Bharuch,41.5,29.4,44.2,56.8,81.1,67.2,49.2,56.9
Gujarat,Bhavnagar,48.4,26.0,44.4,69.2,93.3,65.8,46.3,52.4
Gujarat,Dang,48.1,43.0,60.0,74.1,53.2,19.4,9.1,44.3
Gujarat,Dohad,44.4,24.9,50.8,58.9,83.8,21.9,15.3,33.0
Gujarat,Gandhinagar,36.5,29.0,42.7,73.7,92.3,62.3,52.2,66.1
Gujarat,Jamnagar,27.9,31.3,29.3,75.7,95.8,68.0,56.8,71.4
Gujarat,Junagadh,27.9,30.4,27.2,77.1,90.6,75.1,47.8,56.5
Gujarat,Kachchh,40.8,31.4,39.0,81.4,82.7,61.5,38.5,45.0
Gujarat,Kheda,45.5,27.2,48.1,53.7,88.4,51.3,28.6,39.5
Gujarat,Mahesana,40.5,25.3,41.9,77.8,96.4,66.1,54.9,55.1
Gujarat,Narmada,47.4,35.8,53.6,53.6,77.3,34.8,15.3,69.3
Gujarat,Navsari,38.9,26.8,37.4,51.9,95.2,68.8,53.2,78.5
Gujarat,Panch Mahals,40.4,36.3,42.3,50.2,79.0,39.8,25.2,30.2
Gujarat,Patan,37.6,24.5,38.4,67.2,92.0,56.3,32.5,30.7
Gujarat,Porbandar,22.6,25.4,27.7,70.8,97.3,72.4,48.4,68.8
Gujarat,Rajkot,30.9,23.4,31.4,57.6,92.3,72.3,65.2,51.4
Gujarat,Sabar Kantha,50.6,23.5,45.5,72.5,88.9,46.7,29.9,49.1
Gujarat,Surat,30.0,26.2,36.1,42.3,92.7,77.4,83.4,48.0
Gujarat,Surendranagar,45.5,27.7,45.9,76.8,80.8,47.7,36.5,37.5
