State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log,state_key,district_key,district_merge,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh,district_nfhs,STUNTING_NFHS4,WASTING_NFHS4,UNDERWEIGHT_NFHS4,ANEMIA_NFHS4,INST_DEL_NFHS4,SANITATION_NFHS4,CLEAN_FUEL_NFHS4,IMMUNIZATION_NFHS4,STUNTING_NFHS5,WASTING_NFHS5,UNDERWEIGHT_NFHS5,ANEMIA_NFHS5,INST_DEL_NFHS5,SANITATION_NFHS5,CLEAN_FUEL_NFHS5,IMMUNIZATION_NFHS5,delta_STUNTING,delta_WASTING,delta_UNDERWEIGHT,delta_ANEMIA,delta_INST_DEL,delta_SANITATION,delta_CLEAN_FUEL,delta_IMMUNIZATION,DWEI_score,residual_delta_STUNTING,residual_delta_WASTING,residual_delta_UNDERWEIGHT,residual_delta_ANEMIA,residual_delta_IMMUNIZATION,residual_delta_INST_DEL,residual_delta_SANITATION,residual_delta_CLEAN_FUEL,z_residual_delta_STUNTING,z_residual_delta_WASTING,z_residual_delta_UNDERWEIGHT,z_residual_delta_ANEMIA,z_residual_delta_IMMUNIZATION,z_residual_delta_INST_DEL,z_residual_delta_SANITATION,z_residual_delta_CLEAN_FUEL
Andaman And Nicobar Islands,Nicobars,603,638,35,0.5342451698594045,1.4092323420548558,-1.3944400024412984,36842,9288,0.22977314560839,0.0724669754798348,-1.1265938158690072,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,NICOBARS,16.666666666666668,21.13888888888889,42.32959062261179,21.637112695139493,NICOBARS,20.3,7.4,10.5,50.5,96.1,86.7,39.3,45.5,21.6,15.7,24.6,37.7,97.8,83.5,56.9,64.2,1.3000000000000007,8.299999999999999,14.100000000000001,-12.799999999999997,1.7000000000000028,-3.200000000000003,17.6,18.700000000000003,-0.5724497449138497,-0.6575189118020486,-10.462701662199665,-14.451602919334887,24.781409327923434,-1.1339270532109325,-10.076046744294132,-21.743506766603637,3.8760909539523567,-0.09681484269411958,-1.3068757617166256,-1.9618182592962066,1.7251619505870932,-0.07027648430876192,-1.281708648664398,-2.018260538905652,0.4309946256878733
Andaman And Nicobar Islands,North And Middle Andaman,632,639,35,1.2092298357636815,-1.4194761289243283,-1.2726423515123855,105597,26199,0.2127499019404686,-0.08264765670130066,-1.1073514096601893,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,NORTH AND MIDDLE ANDAMAN,97.22222222222224,24.47222222222222,56.02123927536216,24.928726688028668,NORTH AND MIDDLE ANDAMAN,32.5,31.7,33.5,47.3,95.0,49.8,35.5,89.1,27.0,27.0,42.8,30.4,97.7,86.4,61.3,,-5.5,-4.699999999999999,9.299999999999997,-16.9,2.700000000000003,36.60000000000001,25.799999999999997,,0.7583272238325635,4.644490325259685,7.136649089013473,-6.8064881820025125,32.81557879170698,,-3.2292536296285217,21.52238239972853,7.064828865029966,0.6838671742566532,0.8914249890164514,-0.9239869702807283,2.2844620000750178,,-0.41077243991246754,1.9977354879722862,0.7855603257007315
Andaman And Nicobar Islands,South Andamans,602,640,35,1.7153421265082445,-1.3749685083696144,-1.3293862176775508,238142,59064,0.0634623441356821,-1.544410170229814,-0.8521615309125989,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SOUTH ANDAMAN,91.66666666666669,16.805555555555557,54.04737505539859,17.308817775420117,SOUTH ANDAMANS,20.1,15.6,18.5,49.6,97.0,83.6,77.3,69.1,21.1,12.6,17.4,43.4,99.5,89.3,91.9,76.3,1.0,-3.0,-1.1000000000000014,-6.200000000000003,2.5,5.700000000000003,14.600000000000009,7.200000000000003,0.15889814473627,0.19111971492251056,3.5130600600275956,4.0086138122139285,18.19417348366869,-5.5750550947825275,0.5381524516667344,-3.335738592642487,-3.7757314049386643,0.02814097785454778,0.43880951499285936,0.5441729761856892,1.2665904267614954,-0.3455207023939715,0.06845488802359884,-0.30962758868203555,-0.41983533485202357
Andhra Pradesh,Ananthapuramu,502,553,28,-0.5559828140725779,-0.6474374186073006,1.2446267364991899,4081148,968160,0.0722770124103594,-1.4525552808844997,-0.5091724651655086,ANDHRA PRADESH,ANANTHAPURAMU,ANANTAPUR,100.0,49.80555555555556,54.28546900372962,50.35650947446734,ANANTHAPURAMU,40.3,15.2,39.3,53.0,89.9,46.5,65.9,76.3,36.0,19.3,40.6,55.8,94.7,71.3,86.4,81.8,-4.299999999999997,4.100000000000001,1.3000000000000043,2.799999999999997,4.799999999999997,24.799999999999997,20.5,5.5,-0.35782127158331395,1.5223702022818961,-8.21596664111865,-5.882282021595393,-0.0010397378041888672,-11.95133168281026,-2.288223717351155,-1.583180802445419,-0.7479687595591606,0.224157859204678,-1.026240450030469,-0.7985251422080143,-7.238152094741152e-05,-0.7406980643926726,-0.2910701193668819,-0.14695289834463438,-0.08316897600757013
Andhra Pradesh,Chittoor,503,554,28,0.1382778891859511,-0.44391854792030117,1.059754394535918,4174064,1039953,0.0501798547103344,-1.6842709080195228,-0.20033806024887565,ANDHRA PRADESH,CHITTOOR,CHITTOOR,99.94277777777778,42.94444444444444,59.55495544625998,43.39098765933639,CHITTOOR,31.4,18.1,32.4,46.6,94.0,39.8,59.4,67.6,27.1,14.8,27.9,54.9,97.1,74.6,86.6,66.6,-4.299999999999997,-3.3000000000000007,-4.5,8.299999999999997,3.0999999999999943,34.8,27.199999999999996,-1.0,0.1160493236130063,2.935917880440264,-0.7772311433474668,1.0903994570667508,-4.488345271870915,-16.63905777811725,-1.5781824502242108,13.053348944579373,6.996529146938375,0.4322923989800766,-0.09708243389581228,0.14802271946859394,-0.31245690596798775,-1.0312254915739467,-0.2007503683692414,1.2116288029433357,0.7779658673190322
Andhra Pradesh,East Godavari,505,545,28,0.4658163824089424,-0.4511422164427953,2.0361912484597284,5154296,1428528,0.0709239811071894,-1.4666056291841092,-0.13122019102710536,ANDHRA PRADESH,EAST GODAVARI,EAST GODAVARI,100.0,37.02777777777778,53.29604149775297,37.58425717235306,EAST GODAVARI,27.7,15.3,27.1,63.1,96.9,56.8,50.3,60.3,23.1,14.3,22.4,66.8,96.6,77.7,80.3,59.0,-4.599999999999998,-1.0,-4.700000000000003,3.6999999999999957,-0.30000000000001137,20.900000000000006,30.0,-1.2999999999999972,-0.014423471727016413,3.3576094856800918,-2.5120029997195323,1.6750592881084936,1.4294912546463552,-15.396352749911234,-2.4713183405570796,-1.8125841529522937,7.31976374825625,0.4943833984843094,-0.31376942014446435,0.2273908240599644,0.09951427251694339,-0.9542073622614483,-0.3143604005696636,-0.16824641529158302,0.8139073293898107
Andhra Pradesh,Guntur,506,548,28,-0.07306254997897517,-0.3546935310547736,1.9618350383794305,4887813,1296609,0.0740480761170549,-1.434190706398961,-0.05400382453981738,ANDHRA PRADESH,GUNTUR,GUNTUR,100.0,28.97222222222222,53.8833284996388,29.476565071672574,GUNTUR,22.1,17.9,29.1,68.1,97.5,63.2,79.8,61.7,23.8,17.8,26.9,59.3,98.6,83.4,91.7,76.2,1.6999999999999993,-0.09999999999999787,-2.200000000000003,-8.799999999999997,1.0999999999999943,20.200000000000003,11.900000000000006,14.5,-0.32697345358099794,-3.832603738064562,-4.264129603480608,-2.2786523455433816,12.181728917469359,-0.9248953528606929,-3.3586961900736956,-5.1132481063379025,-9.878010913263157,-0.5643228222784924,-0.5326241542125304,-0.30932913137921136,0.8480330937879567,-0.05732149486027859,-0.4272379896898933,-0.4746183304022682,-1.098366799613266
Andhra Pradesh,Krishna,510,547,28,0.6194250136391928,-0.46275734853142997,1.7827770081596064,4517398,1243293,0.0658157639053278,-1.519811633387421,0.15389836733278206,ANDHRA PRADESH,KRISHNA,KRISHNA,100.0,34.083333333333336,55.58844294555141,34.539971058023816,KRISHNA,22.6,20.7,27.7,58.1,96.4,63.2,73.3,74.1,29.8,14.3,21.1,65.7,98.9,79.1,89.8,90.0,7.199999999999999,-6.399999999999999,-6.599999999999998,7.600000000000001,2.5,15.899999999999991,16.5,15.900000000000006,-0.16678833348001124,-8.288149254725989,2.8279335697773464,3.6260405385102343,-2.3209107334887653,2.6392071663865018,0.5562837700585774,-5.180670265035687,-4.957946858420513,-1.2203692577031982,0.3532316945860228,0.49223830582005923,-0.1615705884657817,0.1635680183226313,0.07076125560845277,-0.4808765427416216,-0.5512895532666546
Andhra Pradesh,Kurnool,511,552,28,-0.9208923243344441,-0.5502520535926119,1.9816650296309615,4053463,887652,0.0949543110084649,-1.2196689542847383,-0.5619870205909496,ANDHRA PRADESH,KURNOOL,KURNOOL,99.87805555555556,33.5,56.30631101054279,33.995368641636226,KURNOOL,44.1,18.8,37.5,54.5,75.5,52.9,63.7,66.1,50.5,16.7,46.3,70.8,88.5,73.5,78.1,67.0,6.399999999999999,-2.1000000000000014,8.799999999999997,16.299999999999997,13.0,20.6,14.399999999999991,0.9000000000000057,-0.8702725317552943,-10.0184210047032,-2.349659504137783,-14.479569860724402,-14.218496587076256,-17.228377619388468,5.317184117765082,-9.836700474170112,-8.39684981107402,-1.4751390966923386,-0.29349140913946226,-1.9656147970630458,-0.9898230153898934,-1.0677492930483565,0.6763645547932506,-0.9130553140832268,-0.9336718834192815
Andhra Pradesh,Prakasam,517,549,28,-0.6268535889399782,-0.2213687222636386,1.9712880886020767,3397448,860463,0.0797277082530989,-1.3755008813487728,-0.500315274477025,ANDHRA PRADESH,PRAKASAM,PRAKASAM,99.98861111111113,40.861111111111114,57.23340288547537,41.31543246518842,PRAKASAM,28.2,15.3,30.3,56.3,91.4,53.6,65.9,64.0,22.6,8.7,24.7,62.6,97.4,78.4,90.8,51.9,-5.599999999999998,-6.600000000000001,-5.600000000000001,6.300000000000004,6.0,24.800000000000004,24.89999999999999,-12.100000000000001,-0.20014769650910416,2.9010280846012098,1.7791060345982004,0.3617879760818532,-4.166900842052137,-29.98175322410911,-0.7047310911261278,-3.735714594670796,2.5627325215621326,0.4271551321499403,0.2222246824202525,0.04911304728153049,-0.29007949828251506,-1.8581549880451893,-0.0896442779000162,-0.3467538806858105,0.2849582109889745
