fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,April,01,ANDAMAN AND NICOBAR,0102,NICOBARS,2631,0,0,0,0,0,10,122,0,0,0,0,1417,0,0,0,0,746,1577,0,6257,10256,122,0,0,5,0,0,0,NA
2021-2022,March,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,32000,559.435405304134,19,2,0.705120186,8,0,382,24019,0,0,0,0,0,135.075910186,1263,1418,4195,6071,0,13338,17098,390,134.37079,14220,50,44.78,45.13,225.08,NA
2021-2022,Sep,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,20115,1481.5323296142,13,1,0.705120186,6,0,368,7439,0,0,0,0,0,110.916310186,540,614,4184,6058,0,13393,17216,374,110.21119,3864,50,45.53,22.7,151.05,NA
2021-2022,Sep,01,ANDAMAN AND NICOBAR,0102,NICOBARS,14606,0,16,1,0,0,10,125,1713,0,0,1697,1425,0,0,102,142,752,1585,0,6265,10261,125,0,901,5,42.07,73,0,NA
2021-2022,Sep,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,89001,844.957893206706,21,6,42.463895452,362,0,446,41276,0,0,0,0,0,391.228715452,1926,2351,7615,13724,2,18223,29078,808,348.76482,21573,74,64.59,32.75,186.36,NA
2021-2022,Dec,01,ANDAMAN AND NICOBAR,0102,NICOBARS,31113,268.866526904263,22,1,0,0,7,130,4293,0,0,3741,1432,0,11.54244,195,245,759,1592,0,5969,9644,130,11.54244,2123,6,28.97,48.04,546.8,NA
2021-2022,Dec,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,143502,623.00239356363,22,10,47.162175452,445,0,419,64757,0,0,0,0,0,450.599835452,2826,3388,7629,13746,4,18243,29104,864,403.43766,35279,74,64.24,46.77,172.96,NA
2021-2022,Nov,01,ANDAMAN AND NICOBAR,0102,NICOBARS,22117,259.976489028213,21,1,0,0,7,129,3828,0,0,3420,1431,0,9.9519,181,229,758,1591,0,6198,9990,129,9.9519,1920,6,26.59,41.92,518.94,NA
2021-2022,July,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,17055,2412.47941468254,12,1,0,4,1,367,4032,0,0,0,0,0,97.27117,317,376,4176,6048,0,13385,17205,371,97.27117,2241,50,43.87,11.97,136.22,NA
2021-2022,May,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,14477,11.3963414634146,16,0,0,1,29,368,820,0,0,0,0,0,0.09345,49,68,4157,6026,0,13380,17216,369,0.09345,388,50,100,0,0,NA
2021-2022,May,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,29667,0,18,1,0,11,37,682,13681,0,0,0,0,0,0,754,933,7611,13719,0,18180,29026,693,0,6701,79,48.86,16.12,611.58,NA
2021-2022,Oct,01,ANDAMAN AND NICOBAR,0102,NICOBARS,18200,75.9172907847607,28,1,0,0,8,126,3071,0,0,3025,1425,0,2.33142,109,152,752,1585,0,6219,10119,126,2.33142,1584,6,29.52,42.59,813.1,NA
2021-2022,March,01,ANDAMAN AND NICOBAR,0102,NICOBARS,40000,127.091389561771,25,3,0,0,7,138,9082,0,0,8157,1451,0,11.54244,358,449,779,1618,1,5995,9667,138,11.54244,4046,5,51.84,60.98,568.25,NA
2021-2022,Feb,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,31341,794.069782791312,19,2,0.705120186,8,0,370,16666,0,0,0,0,0,133.044790186,864,978,4191,6066,0,13339,17099,378,132.33967,9439,50,42.76,35.58,156.04,NA
2021-2022,Jan,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,30250,829.544037111011,18,2,0.705120186,8,0,370,15521,0,0,0,0,0,129.458650186,847,955,4191,6066,0,13338,17103,378,128.75353,8692,50,42.85,35.2,153.85,NA
