shrid2,pc11_state_id,pc11_district_id
11-01-001-00001-000001,01,001
11-01-001-00001-000002,01,001
11-01-001-00001-000005,01,001
11-01-001-00001-000006,01,001
11-01-001-00001-000007,01,001
11-01-001-00001-000008,01,001
11-01-001-00001-000009,01,001
11-01-001-00001-000010,01,001
11-01-001-00001-000011,01,001
11-01-001-00001-000012,01,001
11-01-001-00001-000013,01,001
11-01-001-00001-000014,01,001
11-01-001-00001-000015,01,001
11-01-001-00001-000016,01,001
11-01-001-00001-000017,01,001
11-01-001-00001-000018,01,001
11-01-001-00001-000019,01,001
11-01-001-00001-000020,01,001
11-01-001-00001-000021,01,001
11-01-001-00001-000022,01,001
11-01-001-00001-000023,01,001
11-01-001-00001-000024,01,001
11-01-001-00001-000025,01,001
11-01-001-00001-000026,01,001
11-01-001-00001-000027,01,001
11-01-001-00001-000028,01,001
11-01-001-00001-000029,01,001
11-01-001-00001-000030,01,001
11-01-001-00001-000031,01,001
11-01-001-00001-000032,01,001
11-01-001-00001-000033,01,001
11-01-001-00001-000034,01,001
11-01-001-00001-000035,01,001
11-01-001-00001-000036,01,001
11-01-001-00001-000037,01,001
11-01-001-00001-000038,01,001
11-01-001-00001-000039,01,001
11-01-001-00001-000040,01,001
11-01-001-00001-000041,01,001
11-01-001-00001-000042,01,001
11-01-001-00001-000043,01,001
11-01-001-00001-000044,01,001
11-01-001-00001-000045,01,001
11-01-001-00001-000046,01,001
11-01-001-00001-000047,01,001
11-01-001-00001-000048,01,001
11-01-001-00001-000049,01,001
11-01-001-00001-000050,01,001
11-01-001-00001-000051,01,001
11-01-001-00001-000052,01,001
11-01-001-00001-000053,01,001
11-01-001-00001-000054,01,001
11-01-001-00001-000055,01,001
11-01-001-00001-000056,01,001
11-01-001-00001-000057,01,001
11-01-001-00001-000058,01,001
11-01-001-00001-000059,01,001
11-01-001-00001-000060,01,001
11-01-001-00001-000061,01,001
11-01-001-00001-000062,01,001
11-01-001-00001-000063,01,001
11-01-001-00001-000064,01,001
11-01-001-00001-000065,01,001
11-01-001-00001-000066,01,001
11-01-001-00001-000067,01,001
11-01-001-00001-000068,01,001
11-01-001-00001-000069,01,001
11-01-001-00001-000070,01,001
11-01-001-00001-000071,01,001
11-01-001-00001-000072,01,001
11-01-001-00001-000073,01,001
11-01-001-00001-000074,01,001
11-01-001-00001-000075,01,001
11-01-001-00001-000076,01,001
11-01-001-00001-000077,01,001
11-01-001-00001-000078,01,001
11-01-001-00001-000079,01,001
11-01-001-00001-000080,01,001
11-01-001-00001-000081,01,001
11-01-001-00001-000082,01,001
11-01-001-00001-000083,01,001
11-01-001-00001-000084,01,001
11-01-001-00001-000085,01,001
11-01-001-00001-000086,01,001
11-01-001-00001-000087,01,001
11-01-001-00001-000088,01,001
11-01-001-00001-000089,01,001
11-01-001-00001-000090,01,001
11-01-001-00001-000091,01,001
11-01-001-00001-000092,01,001
11-01-001-00001-000093,01,001
11-01-001-00001-000094,01,001
11-01-001-00001-000095,01,001
11-01-001-00001-000096,01,001
11-01-001-00001-000097,01,001
11-01-001-00001-000098,01,001
11-01-001-00001-000099,01,001
11-01-001-00001-000100,01,001
11-01-001-00001-000101,01,001
11-01-001-00001-000102,01,001
11-01-001-00001-000103,01,001
11-01-001-00001-000104,01,001
11-01-001-00001-000105,01,001
11-01-001-00001-000106,01,001
11-01-001-00001-000107,01,001
11-01-001-00001-000108,01,001
11-01-001-00001-000109,01,001
11-01-001-00001-000110,01,001
11-01-001-00001-000111,01,001
11-01-001-00001-000112,01,001
11-01-001-00001-000113,01,001
11-01-001-00001-000114,01,001
11-01-001-00001-000115,01,001
11-01-001-00001-000116,01,001
11-01-001-00001-000117,01,001
11-01-001-00001-000118,01,001
11-01-001-00001-000119,01,001
11-01-001-00001-000120,01,001
11-01-001-00001-000123,01,001
11-01-001-00001-000124,01,001
11-01-001-00001-000125,01,001
11-01-001-00001-000126,01,001
11-01-001-00001-000127,01,001
11-01-001-00001-000128,01,001
11-01-001-00001-800001,01,001
11-01-001-00002-000129,01,001
11-01-001-00002-000130,01,001
11-01-001-00002-000131,01,001
11-01-001-00002-000132,01,001
11-01-001-00002-000133,01,001
11-01-001-00002-000134,01,001
11-01-001-00002-000135,01,001
11-01-001-00002-000136,01,001
11-01-001-00002-000137,01,001
11-01-001-00002-000138,01,001
11-01-001-00002-000139,01,001
11-01-001-00002-000140,01,001
11-01-001-00002-000141,01,001
11-01-001-00002-000142,01,001
11-01-001-00002-000143,01,001
11-01-001-00002-000144,01,001
11-01-001-00002-000145,01,001
11-01-001-00002-000146,01,001
11-01-001-00002-000147,01,001
11-01-001-00002-000148,01,001
11-01-001-00002-000149,01,001
11-01-001-00002-000150,01,001
11-01-001-00002-000151,01,001
11-01-001-00002-000152,01,001
11-01-001-00002-000153,01,001
11-01-001-00002-000154,01,001
11-01-001-00002-000155,01,001
11-01-001-00002-000156,01,001
11-01-001-00002-000157,01,001
11-01-001-00002-000158,01,001
11-01-001-00002-000159,01,001
11-01-001-00002-000161,01,001
11-01-001-00002-000162,01,001
11-01-001-00002-000163,01,001
11-01-001-00002-000164,01,001
11-01-001-00002-000165,01,001
11-01-001-00002-000166,01,001
11-01-001-00002-000167,01,001
11-01-001-00002-000168,01,001
11-01-001-00002-000169,01,001
11-01-001-00002-000170,01,001
11-01-001-00002-000171,01,001
11-01-001-00002-000172,01,001
11-01-001-00002-000173,01,001
11-01-001-00002-000174,01,001
11-01-001-00002-000175,01,001
11-01-001-00002-000176,01,001
11-01-001-00002-000177,01,001
11-01-001-00002-000178,01,001
11-01-001-00002-000179,01,001
11-01-001-00002-000180,01,001
11-01-001-00002-000181,01,001
11-01-001-00002-000182,01,001
11-01-001-00002-000183,01,001
11-01-001-00002-000184,01,001
11-01-001-00002-000185,01,001
11-01-001-00002-000186,01,001
11-01-001-00002-000187,01,001
11-01-001-00002-000188,01,001
11-01-001-00002-000189,01,001
11-01-001-00002-000190,01,001
11-01-001-00002-000191,01,001
11-01-001-00002-000192,01,001
11-01-001-00002-000193,01,001
