State,District,tier,positive_1,positive_2,positive_3,negative_1,negative_2,negative_3
Andaman And Nicobar Islands,Nicobars,Tier V - Special Challenge Districts,wage_timeliness_pct (3.90),agri_worker_pct (0.63),avg_days_per_hh (0.37),poverty_log (-0.10),night_lights_log (-0.06),female_literacy_pct (0.03)
Andaman And Nicobar Islands,North And Middle Andaman,Tier II - Strong Performing Districts,avg_days_per_hh (0.98),persondays_per_hh (0.62),night_lights_log (0.23),women_pct (-0.15),agri_worker_pct (-0.01),female_literacy_pct (0.03)
Andaman And Nicobar Islands,South Andamans,Tier II - Strong Performing Districts,avg_days_per_hh (1.00),persondays_per_hh (0.60),women_pct (0.31),poverty_log (-0.20),agri_worker_pct (-0.12),female_literacy_pct (-0.03)
Andhra Pradesh,Ananthapuramu,Tier I - High Impact Districts,avg_days_per_hh (1.91),persondays_per_hh (1.18),poverty_log (0.13),female_literacy_pct (-0.22),wage_timeliness_pct (-0.14),scst_pct (-0.06)
Andhra Pradesh,Chittoor,Tier I - High Impact Districts,avg_days_per_hh (1.21),persondays_per_hh (1.06),female_literacy_pct (0.47),women_pct (-0.29),agri_worker_pct (-0.09),poverty_log (0.00)
Andhra Pradesh,East Godavari,Tier IV - Improvement Potential Districts,female_literacy_pct (0.69),poverty_log (0.59),persondays_per_hh (0.57),women_pct (-0.13),wage_timeliness_pct (-0.12),agri_worker_pct (-0.11)
Andhra Pradesh,Guntur,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.69),persondays_per_hh (0.29),scst_pct (0.18),poverty_log (-0.39),agri_worker_pct (-0.35),night_lights_log (-0.09)
Andhra Pradesh,Krishna,Tier IV - Improvement Potential Districts,women_pct (0.55),agri_worker_pct (0.37),avg_days_per_hh (0.34),scst_pct (-0.26),female_literacy_pct (-0.24),poverty_log (-0.00)
Andhra Pradesh,Kurnool,Tier IV - Improvement Potential Districts,women_pct (0.50),avg_days_per_hh (0.40),agri_worker_pct (0.30),poverty_log (-0.20),scst_pct (-0.18),night_lights_log (-0.16)
Andhra Pradesh,Prakasam,Tier I - High Impact Districts,avg_days_per_hh (0.75),persondays_per_hh (0.74),wage_timeliness_pct (0.45),women_pct (-0.22),female_literacy_pct (-0.15),night_lights_log (0.08)
Andhra Pradesh,Srikakulam,Tier I - High Impact Districts,avg_days_per_hh (1.58),persondays_per_hh (1.13),poverty_log (0.35),women_pct (-0.32),scst_pct (-0.06),female_literacy_pct (0.03)
Andhra Pradesh,Sri Potti Sriramulu Nellore,Tier IV - Improvement Potential Districts,women_pct (0.51),scst_pct (0.35),avg_days_per_hh (0.34),female_literacy_pct (-0.17),night_lights_log (-0.08),poverty_log (-0.06)
Andhra Pradesh,Visakhapatnam,Tier I - High Impact Districts,avg_days_per_hh (1.82),persondays_per_hh (1.20),poverty_log (0.36),women_pct (-0.24),wage_timeliness_pct (-0.11),agri_worker_pct (-0.03)
Andhra Pradesh,Vizianagaram,Tier I - High Impact Districts,avg_days_per_hh (2.03),persondays_per_hh (1.21),poverty_log (0.34),women_pct (-0.28),wage_timeliness_pct (-0.14),female_literacy_pct (-0.08)
Andhra Pradesh,West Godavari,Tier IV - Improvement Potential Districts,agri_worker_pct (0.78),women_pct (0.53),avg_days_per_hh (0.36),scst_pct (-0.26),female_literacy_pct (-0.26),poverty_log (-0.09)
Andhra Pradesh,Y.S.R. Kadapa,Tier I - High Impact Districts,avg_days_per_hh (1.89),persondays_per_hh (1.17),night_lights_log (0.12),women_pct (-0.24),wage_timeliness_pct (-0.14),female_literacy_pct (-0.14)
Arunachal Pradesh,Anjaw,Tier V - Special Challenge Districts,wage_timeliness_pct (3.87),agri_worker_pct (0.55),persondays_per_hh (0.19),avg_days_per_hh (-0.14),women_pct (-0.14),female_literacy_pct (-0.08)
Arunachal Pradesh,Changlang,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.28),agri_worker_pct (0.28),persondays_per_hh (0.25),wage_timeliness_pct (-0.04),poverty_log (0.01),night_lights_log (0.02)
Arunachal Pradesh,Dibang Valley,Tier II - Strong Performing Districts,avg_days_per_hh (0.78),persondays_per_hh (0.44),women_pct (0.33),agri_worker_pct (-0.23),scst_pct (-0.13),female_literacy_pct (-0.11)
Arunachal Pradesh,East Kameng,Tier II - Strong Performing Districts,female_literacy_pct (0.59),avg_days_per_hh (0.50),women_pct (0.32),agri_worker_pct (-0.33),persondays_per_hh (0.06),scst_pct (0.09)
Arunachal Pradesh,East Siang,Tier II - Strong Performing Districts,avg_days_per_hh (0.89),persondays_per_hh (0.47),women_pct (0.40),scst_pct (-0.18),female_literacy_pct (-0.14),agri_worker_pct (-0.08)
Arunachal Pradesh,Kurung Kumey,Tier II - Strong Performing Districts,avg_days_per_hh (0.76),women_pct (0.41),persondays_per_hh (0.37),agri_worker_pct (-0.19),scst_pct (-0.01),female_literacy_pct (0.02)
Arunachal Pradesh,Lohit,Tier I - High Impact Districts,avg_days_per_hh (1.73),persondays_per_hh (1.20),women_pct (0.27),wage_timeliness_pct (-0.99),female_literacy_pct (-0.15),poverty_log (-0.06)
Arunachal Pradesh,Lower Dibang Valley,Tier V - Special Challenge Districts,wage_timeliness_pct (3.75),persondays_per_hh (0.38),avg_days_per_hh (0.34),agri_worker_pct (-0.16),night_lights_log (-0.03),female_literacy_pct (0.03)
Arunachal Pradesh,Lower Subansiri,Tier II - Strong Performing Districts,avg_days_per_hh (0.83),persondays_per_hh (0.42),women_pct (0.33),female_literacy_pct (-0.17),agri_worker_pct (-0.11),scst_pct (-0.08)
Arunachal Pradesh,Papum Pare,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.31),women_pct (0.30),persondays_per_hh (0.25),poverty_log (-0.09),night_lights_log (-0.03),wage_timeliness_pct (-0.00)
Arunachal Pradesh,Tawang,Tier II - Strong Performing Districts,female_literacy_pct (0.64),avg_days_per_hh (0.47),women_pct (0.35),wage_timeliness_pct (-0.34),agri_worker_pct (-0.09),poverty_log (0.12)
Arunachal Pradesh,Tirap,Tier II - Strong Performing Districts,night_lights_log (0.49),wage_timeliness_pct (0.33),female_literacy_pct (0.30),avg_days_per_hh (-0.27),persondays_per_hh (-0.22),poverty_log (-0.06)
Arunachal Pradesh,Upper Siang,Tier II - Strong Performing Districts,avg_days_per_hh (0.90),persondays_per_hh (0.51),women_pct (0.30),agri_worker_pct (-0.13),poverty_log (-0.05),scst_pct (-0.01)
Arunachal Pradesh,Upper Subansiri,Tier IV - Improvement Potential Districts,poverty_log (0.66),avg_days_per_hh (0.45),persondays_per_hh (0.29),agri_worker_pct (-0.21),wage_timeliness_pct (-0.06),scst_pct (-0.05)
Arunachal Pradesh,West Kameng,Tier II - Strong Performing Districts,avg_days_per_hh (0.83),night_lights_log (0.34),wage_timeliness_pct (0.31),agri_worker_pct (-0.10),female_literacy_pct (-0.02),scst_pct (-0.01)
Arunachal Pradesh,West Siang,Tier II - Strong Performing Districts,avg_days_per_hh (0.81),persondays_per_hh (0.44),women_pct (0.20),agri_worker_pct (-0.31),scst_pct (-0.14),female_literacy_pct (-0.11)
Assam,Baksa,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.93),persondays_per_hh (0.47),women_pct (0.40),scst_pct (-0.35),female_literacy_pct (-0.12),agri_worker_pct (-0.09)
Assam,Barpeta,Tier II - Strong Performing Districts,avg_days_per_hh (0.92),women_pct (0.50),persondays_per_hh (0.45),female_literacy_pct (-0.02),agri_worker_pct (-0.01),night_lights_log (0.03)
Assam,Bongaigaon,Tier II - Strong Performing Districts,avg_days_per_hh (1.03),persondays_per_hh (0.57),women_pct (0.52),female_literacy_pct (-0.07),night_lights_log (0.00),agri_worker_pct (0.01)
Assam,Cachar,Tier II - Strong Performing Districts,avg_days_per_hh (1.10),persondays_per_hh (0.64),women_pct (0.35),agri_worker_pct (-0.15),female_literacy_pct (0.01),poverty_log (0.02)
Assam,Chirang,Tier II - Strong Performing Districts,avg_days_per_hh (0.98),persondays_per_hh (0.48),women_pct (0.42),scst_pct (-0.25),agri_worker_pct (-0.13),night_lights_log (-0.02)
Assam,Darrang,Tier II - Strong Performing Districts,avg_days_per_hh (0.95),persondays_per_hh (0.57),women_pct (0.41),female_literacy_pct (-0.01),night_lights_log (0.02),wage_timeliness_pct (0.04)
Assam,Dhemaji,Tier IV - Improvement Potential Districts,scst_pct (0.38),women_pct (0.33),poverty_log (0.33),persondays_per_hh (-0.26),agri_worker_pct (-0.12),avg_days_per_hh (-0.09)
Assam,Dhubri,Tier II - Strong Performing Districts,avg_days_per_hh (0.99),persondays_per_hh (0.52),women_pct (0.43),night_lights_log (0.04),poverty_log (0.04),scst_pct (0.05)
Assam,Dibrugarh,Tier II - Strong Performing Districts,avg_days_per_hh (1.12),persondays_per_hh (0.61),women_pct (0.38),agri_worker_pct (-0.10),poverty_log (-0.04),female_literacy_pct (-0.02)
Assam,Dima Hasao,Tier II - Strong Performing Districts,avg_days_per_hh (0.95),persondays_per_hh (0.48),women_pct (0.26),female_literacy_pct (-0.14),scst_pct (-0.14),agri_worker_pct (-0.05)
Assam,Goalpara,Tier II - Strong Performing Districts,avg_days_per_hh (1.02),persondays_per_hh (0.49),women_pct (0.36),female_literacy_pct (-0.04),night_lights_log (-0.01),poverty_log (-0.00)
Assam,Golaghat,Tier II - Strong Performing Districts,avg_days_per_hh (1.08),persondays_per_hh (0.62),women_pct (0.38),agri_worker_pct (-0.10),night_lights_log (-0.05),female_literacy_pct (-0.01)
Assam,Hailakandi,Tier II - Strong Performing Districts,avg_days_per_hh (1.17),persondays_per_hh (0.59),women_pct (0.28),female_literacy_pct (-0.04),agri_worker_pct (-0.02),poverty_log (0.03)
Assam,Jorhat,Tier II - Strong Performing Districts,avg_days_per_hh (1.06),persondays_per_hh (0.58),women_pct (0.48),agri_worker_pct (-0.08),night_lights_log (0.03),female_literacy_pct (0.04)
Assam,Kamrup,Tier II - Strong Performing Districts,avg_days_per_hh (1.06),persondays_per_hh (0.59),women_pct (0.54),agri_worker_pct (-0.06),female_literacy_pct (-0.04),night_lights_log (-0.04)
Assam,Kamrup Metro,Tier IV - Improvement Potential Districts,avg_days_per_hh (1.08),persondays_per_hh (0.63),women_pct (0.43),agri_worker_pct (-0.25),night_lights_log (-0.17),female_literacy_pct (-0.10)
Assam,Karbi Anglong,Tier II - Strong Performing Districts,avg_days_per_hh (0.95),persondays_per_hh (0.48),women_pct (0.33),scst_pct (-0.20),agri_worker_pct (-0.12),female_literacy_pct (-0.08)
Assam,Kokrajhar,Tier IV - Improvement Potential Districts,scst_pct (0.61),female_literacy_pct (0.39),poverty_log (0.33),persondays_per_hh (-0.31),avg_days_per_hh (-0.14),agri_worker_pct (0.07)
Assam,Lakhimpur,Tier IV - Improvement Potential Districts,scst_pct (0.53),agri_worker_pct (0.34),women_pct (0.28),persondays_per_hh (-0.05),avg_days_per_hh (-0.05),female_literacy_pct (0.00)
Assam,Marigaon,Tier II - Strong Performing Districts,avg_days_per_hh (0.94),persondays_per_hh (0.46),women_pct (0.39),female_literacy_pct (-0.05),agri_worker_pct (-0.01),night_lights_log (0.00)
Assam,Nagaon,Tier II - Strong Performing Districts,avg_days_per_hh (1.00),persondays_per_hh (0.57),women_pct (0.57),female_literacy_pct (-0.07),agri_worker_pct (-0.02),night_lights_log (0.01)
Assam,Nalbari,Tier II - Strong Performing Districts,avg_days_per_hh (0.83),women_pct (0.52),persondays_per_hh (0.29),agri_worker_pct (-0.15),female_literacy_pct (0.00),night_lights_log (0.03)
Assam,Sivasagar,Tier II - Strong Performing Districts,avg_days_per_hh (1.11),persondays_per_hh (0.62),women_pct (0.36),agri_worker_pct (-0.14),night_lights_log (-0.06),female_literacy_pct (0.05)
Assam,Sonitpur,Tier II - Strong Performing Districts,avg_days_per_hh (1.01),persondays_per_hh (0.56),women_pct (0.39),poverty_log (-0.10),agri_worker_pct (-0.10),female_literacy_pct (-0.04)
Assam,Sribhumi,Tier II - Strong Performing Districts,avg_days_per_hh (1.17),persondays_per_hh (0.63),women_pct (0.28),poverty_log (-0.26),female_literacy_pct (-0.08),agri_worker_pct (0.02)
Assam,Tinsukia,Tier II - Strong Performing Districts,avg_days_per_hh (1.07),persondays_per_hh (0.59),women_pct (0.41),agri_worker_pct (-0.13),female_literacy_pct (-0.03),night_lights_log (0.03)
Assam,Udalguri,Tier IV - Improvement Potential Districts,scst_pct (0.61),poverty_log (0.42),women_pct (0.27),persondays_per_hh (-0.48),avg_days_per_hh (-0.21),agri_worker_pct (0.02)
Bihar,Araria,Tier IV - Improvement Potential Districts,agri_worker_pct (0.62),poverty_log (0.55),women_pct (0.18),avg_days_per_hh (-0.36),scst_pct (-0.13),persondays_per_hh (-0.11)
Bihar,Arwal,Tier IV - Improvement Potential Districts,agri_worker_pct (0.64),poverty_log (0.55),female_literacy_pct (0.44),scst_pct (-0.10),wage_timeliness_pct (0.04),night_lights_log (0.18)
Bihar,Aurangabad,Tier IV - Improvement Potential Districts,poverty_log (0.54),female_literacy_pct (0.53),avg_days_per_hh (0.39),scst_pct (-0.07),women_pct (-0.03),wage_timeliness_pct (0.04)
Bihar,Banka,Tier IV - Improvement Potential Districts,women_pct (0.57),avg_days_per_hh (0.45),poverty_log (0.31),night_lights_log (-0.01),scst_pct (0.06),wage_timeliness_pct (0.06)
Bihar,Begusarai,Tier III - Inclusive Development Districts,women_pct (3.19),avg_days_per_hh (0.63),night_lights_log (0.34),female_literacy_pct (-0.26),poverty_log (-0.16),wage_timeliness_pct (0.05)
Bihar,Bhagalpur,Tier IV - Improvement Potential Districts,female_literacy_pct (0.43),avg_days_per_hh (0.39),women_pct (0.33),scst_pct (-0.08),wage_timeliness_pct (-0.07),poverty_log (-0.06)
Bihar,Bhojpur,Tier IV - Improvement Potential Districts,female_literacy_pct (0.39),avg_days_per_hh (0.36),poverty_log (0.35),women_pct (0.01),persondays_per_hh (0.06),wage_timeliness_pct (0.10)
Bihar,Buxar,Tier IV - Improvement Potential Districts,female_literacy_pct (0.41),agri_worker_pct (0.33),scst_pct (0.28),persondays_per_hh (-0.07),poverty_log (0.03),wage_timeliness_pct (0.11)
Bihar,Darbhanga,Tier IV - Improvement Potential Districts,women_pct (0.49),avg_days_per_hh (0.36),agri_worker_pct (0.30),poverty_log (-0.18),wage_timeliness_pct (0.06),night_lights_log (0.08)
Bihar,Gaya,Tier IV - Improvement Potential Districts,women_pct (0.50),avg_days_per_hh (0.31),agri_worker_pct (0.25),poverty_log (-0.04),female_literacy_pct (0.02),night_lights_log (0.06)
Bihar,Gopalganj,Tier II - Strong Performing Districts,avg_days_per_hh (0.87),agri_worker_pct (0.48),women_pct (0.48),night_lights_log (-0.04),scst_pct (0.03),female_literacy_pct (0.04)
Bihar,Jamui,Tier IV - Improvement Potential Districts,women_pct (0.62),avg_days_per_hh (0.44),persondays_per_hh (0.31),scst_pct (-0.08),wage_timeliness_pct (-0.07),night_lights_log (-0.01)
Bihar,Jehanabad,Tier IV - Improvement Potential Districts,poverty_log (0.53),avg_days_per_hh (0.45),female_literacy_pct (0.43),scst_pct (-0.07),wage_timeliness_pct (0.03),night_lights_log (0.14)
Bihar,Kaimur (Bhabua),Tier IV - Improvement Potential Districts,female_literacy_pct (0.49),avg_days_per_hh (0.35),agri_worker_pct (0.30),scst_pct (-0.23),women_pct (-0.08),night_lights_log (-0.01)
Bihar,Katihar,Tier IV - Improvement Potential Districts,agri_worker_pct (0.61),women_pct (0.51),avg_days_per_hh (0.36),poverty_log (-0.27),scst_pct (-0.07),night_lights_log (-0.01)
Bihar,Khagaria,Tier III - Inclusive Development Districts,women_pct (3.02),avg_days_per_hh (0.62),night_lights_log (0.29),female_literacy_pct (-0.47),poverty_log (-0.18),wage_timeliness_pct (0.05)
Bihar,Kishanganj,Tier IV - Improvement Potential Districts,women_pct (0.64),agri_worker_pct (0.55),avg_days_per_hh (0.51),night_lights_log (-0.08),scst_pct (-0.03),wage_timeliness_pct (-0.02)
Bihar,Lakhisarai,Tier IV - Improvement Potential Districts,poverty_log (0.69),avg_days_per_hh (0.44),persondays_per_hh (0.34),female_literacy_pct (-0.07),night_lights_log (0.13),scst_pct (0.19)
Bihar,Madhepura,Tier IV - Improvement Potential Districts,agri_worker_pct (0.63),women_pct (0.57),avg_days_per_hh (0.44),scst_pct (-0.09),wage_timeliness_pct (0.06),night_lights_log (0.10)
Bihar,Madhubani,Tier III - Inclusive Development Districts,women_pct (3.12),avg_days_per_hh (0.63),night_lights_log (0.30),female_literacy_pct (-0.54),poverty_log (-0.17),wage_timeliness_pct (0.05)
Bihar,Munger,Tier II - Strong Performing Districts,avg_days_per_hh (0.57),women_pct (0.50),agri_worker_pct (0.47),female_literacy_pct (-0.02),persondays_per_hh (0.00),night_lights_log (0.03)
Bihar,Muzaffarpur,Tier IV - Improvement Potential Districts,agri_worker_pct (0.35),female_literacy_pct (0.35),women_pct (0.34),poverty_log (-0.08),wage_timeliness_pct (0.08),night_lights_log (0.10)
Bihar,Nalanda,Tier IV - Improvement Potential Districts,women_pct (0.63),poverty_log (0.52),avg_days_per_hh (0.49),scst_pct (-0.08),wage_timeliness_pct (0.03),night_lights_log (0.11)
Bihar,Nawada,Tier IV - Improvement Potential Districts,women_pct (0.54),poverty_log (0.53),avg_days_per_hh (0.39),scst_pct (-0.21),female_literacy_pct (-0.04),wage_timeliness_pct (0.00)
Bihar,Pashchim Champaran,Tier IV - Improvement Potential Districts,agri_worker_pct (0.71),women_pct (0.46),female_literacy_pct (0.35),scst_pct (-0.13),poverty_log (-0.08),night_lights_log (-0.06)
Bihar,Patna,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.47),persondays_per_hh (0.31),women_pct (0.20),agri_worker_pct (-0.11),female_literacy_pct (-0.07),poverty_log (0.02)
Bihar,Purbi Champaran,Tier IV - Improvement Potential Districts,agri_worker_pct (0.66),women_pct (0.51),avg_days_per_hh (0.41),scst_pct (-0.15),poverty_log (-0.02),night_lights_log (0.05)
Bihar,Purnia,Tier IV - Improvement Potential Districts,agri_worker_pct (0.64),women_pct (0.37),poverty_log (0.35),female_literacy_pct (0.03),wage_timeliness_pct (0.05),persondays_per_hh (0.06)
Bihar,Rohtas,Tier II - Strong Performing Districts,avg_days_per_hh (0.97),women_pct (0.63),persondays_per_hh (0.46),female_literacy_pct (-0.04),night_lights_log (0.01),wage_timeliness_pct (0.12)
Bihar,Saharsa,Tier IV - Improvement Potential Districts,women_pct (0.59),avg_days_per_hh (0.46),agri_worker_pct (0.27),scst_pct (-0.09),wage_timeliness_pct (0.05),poverty_log (0.05)
Bihar,Samastipur,Tier IV - Improvement Potential Districts,women_pct (0.53),avg_days_per_hh (0.46),agri_worker_pct (0.29),poverty_log (0.01),female_literacy_pct (0.02),wage_timeliness_pct (0.07)
Bihar,Saran,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.49),female_literacy_pct (0.39),persondays_per_hh (0.33),scst_pct (-0.12),agri_worker_pct (-0.11),poverty_log (-0.10)
Bihar,Sheikhpura,Tier IV - Improvement Potential Districts,poverty_log (0.49),avg_days_per_hh (0.44),women_pct (0.37),scst_pct (-0.10),wage_timeliness_pct (0.00),female_literacy_pct (0.08)
Bihar,Sheohar,Tier IV - Improvement Potential Districts,agri_worker_pct (0.67),avg_days_per_hh (0.41),female_literacy_pct (0.26),poverty_log (-0.11),scst_pct (-0.04),wage_timeliness_pct (0.04)
